COHORT: INITIAL-DISCOVERY; APPROACH: RESULTS_COMBINED_P; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ZSCAN25	19.265127328392666	0.00069705772711694	3.156731254139867	0.437493	0.000149851	3.0	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
RHOT1	13.899407899260616	0.0009589189999999995	3.018218076185678	NA	0.000958919	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
TMEM252	11.04934212975028	0.00398718	2.3993341578058356	NA	0.00398718	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
OTUD7B	11.02521544659303	0.004035570000000001	2.394095115124925	NA	0.00403557	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
ACSL6	10.682687745104888	0.00478943	2.3197161697972724	NA	0.00478943	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
WDR33	10.536686233272489	0.0051521400000000064	2.2880123443281004	NA	0.00515214	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
RRP1B	10.29113075744051	0.0058251799999999975	2.2346906502506227	NA	0.00582518	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
ENOX2	10.244980371941054	0.00596116	2.224669221370562	NA	0.00596116	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
KLHL35	10.188801344634985	0.006130979999999998	2.212470100591703	NA	0.00613098	NA	21.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
EME2	10.158803882347758	0.006223629999999997	2.2059562344204813	NA	0.00622363	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
NUP160	10.00938000483828	0.006706420000000004	2.1735092516870043	NA	0.00670642	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
GLIPR2	9.97289635019981	0.006829879999999997	2.165586926742429	NA	0.00682988	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
FAAH2	9.786742119321245	0.007496109999999999	2.1251640491156762	NA	0.00749611	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
SULT1E1	9.760796268004938	0.00759399	2.1195299790881994	NA	0.00759399	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
YJEFN3	9.666215420097965	0.00796174	2.0989920089183345	NA	0.00796174	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
RIPK2	9.458926481823658	0.008831209999999996	2.053979787892277	NA	0.00883121	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
TMEM209	9.451290934976374	0.008864990000000001	2.0523217499612323	NA	0.00886499	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
NRBF2	9.402397647643175	0.009084380000000001	2.0417047075157733	NA	0.00908438	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
LIPN	9.379996986128694	0.0091867	2.0368404656724124	NA	0.0091867	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
RASAL3	9.20566583904921	0.0100234	1.9989849380721703	NA	0.0100234	NA	22.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
CPLX3	9.132783756748037	0.010395400000000003	1.983158794985661	NA	0.0103954	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
INSM2	9.115848140782452	0.010483800000000003	1.9794812727049182	NA	0.0104838	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
AOAH	9.090861323274465	0.010615600000000006	1.974055454222897	NA	0.0106156	NA	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
CDC42BPB	9.07627580372755	0.010693299999999994	1.9708882488954382	NA	0.0106933	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
GJA8	9.05723327054463	0.010795600000000006	1.9667532153540377	NA	0.0107956	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
RANGAP1	9.039086200041307	0.010894000000000008	1.9628126290628864	NA	0.010894	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
RGP1	8.958679237504814	0.0113409	1.9453524789947862	NA	0.0113409	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
TRAPPC6A	8.94140096742757	0.011439300000000005	1.9416005503190956	NA	0.0114393	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
PANX2	8.869960508013603	0.011855299999999992	1.9260874516650364	NA	0.0118553	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
IGFLR1	8.860955312717255	0.011908800000000004	1.9241319983522036	NA	0.0119088	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	INITIAL-DISCOVERY
